Date,IBM,Exxon
1/2/1980,15.625,3.3594
1/3/1980,15.8438,3.2734
1/4/1980,15.9063,3.3047
1/7/1980,15.7813,3.2969
1/8/1980,16.7813,3.3125
1/9/1980,16.4375,3.2891
1/10/1980,16.875,3.2969
1/11/1980,16.6563,3.2734
1/14/1980,16.7188,3.3125
1/15/1980,17.5625,3.4063
1/16/1980,17.5,3.4297
1/17/1980,17.3125,3.4766
1/18/1980,17.4063,3.4531
1/21/1980,17.3125,3.4844
1/22/1980,17.25,3.4922
1/23/1980,17.75,3.625
1/24/1980,17.6563,3.6719
1/25/1980,17.5313,3.6328
1/28/1980,17.8125,3.7188
1/29/1980,17.5938,3.7188
1/30/1980,17.5938,3.8047
1/31/1980,17.1563,3.8047
2/1/1980,17.375,3.9531
2/4/1980,17.25,3.8125
2/5/1980,17.4063,3.8125
2/6/1980,17.0625,3.9141
2/7/1980,16.8125,4.0078
2/8/1980,16.8125,4.1328
2/11/1980,16.6875,4.1484
2/12/1980,17.1875,4.1563
2/13/1980,17.3125,4.1797
2/14/1980,17.125,4.0703
2/15/1980,16.9063,4
2/18/1980,16.9063,4
2/19/1980,16.75,3.9219
2/20/1980,16.8125,4.0078
2/21/1980,16.625,4.0078
2/22/1980,16.5,4.0781
2/25/1980,16.3438,4.0938
2/26/1980,16.25,4.1484
2/27/1980,15.5625,4.1484
2/28/1980,15.8125,4.0859
2/29/1980,15.8438,4.1016
3/3/1980,15.6875,4.0313
3/4/1980,15.8438,4.0547
3/5/1980,15.5,4.0313
3/6/1980,15.2813,3.9453
3/7/1980,15.3125,3.8125
3/10/1980,15.4063,3.7734
3/11/1980,15.5313,3.8203
3/12/1980,15.3125,3.8516
3/13/1980,15.0313,3.7969
3/14/1980,15,3.7578
3/17/1980,14.8125,3.625
3/18/1980,14.9063,3.6797
3/19/1980,14.7188,3.6797
3/20/1980,14.5625,3.6172
3/21/1980,14.1875,3.6563
3/24/1980,13.5625,3.5625
3/25/1980,13.6875,3.4922
3/26/1980,13.25,3.5
3/27/1980,14.3125,3.4609
3/28/1980,13.9688,3.5625
3/31/1980,13.9063,3.6172
4/1/1980,13.7188,3.5625
4/2/1980,13.875,3.5313
4/3/1980,13.7188,3.5469
4/4/1980,13.7188,3.5469
4/7/1980,13.4063,3.4688
4/8/1980,13.3438,3.4375
4/9/1980,13.5938,3.5703
4/10/1980,13.5625,3.6016
4/11/1980,13.4063,3.5781
4/14/1980,13.3125,3.5547
4/15/1980,13,3.5859
4/16/1980,12.75,3.5625
4/17/1980,12.8125,3.5703
4/18/1980,12.7813,3.5391
4/21/1980,12.7813,3.5781
4/22/1980,13.5,3.6953
4/23/1980,13.375,3.7188
4/24/1980,13.4063,3.7031
4/25/1980,13.75,3.7266
4/28/1980,13.5938,3.7656
4/29/1980,13.6875,3.7734
4/30/1980,13.7188,3.7969
5/1/1980,13.5625,3.7969
5/2/1980,13.5,3.7813
5/5/1980,13.9063,3.75
