Date,INDU,SPX,AS30,UKX,ASX
1/1/1919,82.2,NA,NA,NA,NA
1/2/1919,82.6,NA,NA,NA,NA
1/3/1919,83.35,NA,NA,NA,NA
1/6/1919,82.45,NA,NA,NA,NA
1/7/1919,82.44,NA,NA,NA,NA
1/8/1919,82.6,NA,NA,NA,NA
1/9/1919,82.76,NA,NA,NA,NA
1/10/1919,82.3,NA,NA,NA,NA
1/13/1919,81.79,NA,NA,NA,NA
1/14/1919,82,NA,NA,NA,NA
1/15/1919,82.4,NA,NA,NA,NA
1/16/1919,82.2,NA,NA,NA,NA
1/17/1919,81.35,NA,NA,NA,NA
1/20/1919,80.14,NA,NA,NA,NA
1/21/1919,79.88,NA,NA,NA,NA
1/22/1919,80,NA,NA,NA,NA
1/23/1919,80.2,NA,NA,NA,NA
1/24/1919,81.75,NA,NA,NA,NA
1/27/1919,81.47,NA,NA,NA,NA
1/28/1919,81.6,NA,NA,NA,NA
1/29/1919,80.56,NA,NA,NA,NA
1/30/1919,80.94,NA,NA,NA,NA
1/31/1919,80.61,NA,NA,NA,NA
2/3/1919,80.91,NA,NA,NA,NA
2/4/1919,81.08,NA,NA,NA,NA
2/5/1919,80.7,NA,NA,NA,NA
2/6/1919,79.68,NA,NA,NA,NA
2/7/1919,79.35,NA,NA,NA,NA
2/10/1919,79.65,NA,NA,NA,NA
2/11/1919,80.25,NA,NA,NA,NA
2/12/1919,80.25,NA,NA,NA,NA
2/13/1919,81.07,NA,NA,NA,NA
2/14/1919,81.2,NA,NA,NA,NA
2/17/1919,82.55,NA,NA,NA,NA
2/18/1919,81.92,NA,NA,NA,NA
2/19/1919,82.58,NA,NA,NA,NA
2/20/1919,82.93,NA,NA,NA,NA
2/21/1919,84.21,NA,NA,NA,NA
2/24/1919,84.62,NA,NA,NA,NA
2/25/1919,84.61,NA,NA,NA,NA
2/26/1919,85.6,NA,NA,NA,NA
2/27/1919,85.68,NA,NA,NA,NA
2/28/1919,84.81,NA,NA,NA,NA
3/3/1919,85.58,NA,NA,NA,NA
3/4/1919,85.1,NA,NA,NA,NA
3/5/1919,84.24,NA,NA,NA,NA
3/6/1919,85.64,NA,NA,NA,NA
3/7/1919,86.23,NA,NA,NA,NA
3/10/1919,87.43,NA,NA,NA,NA
3/11/1919,88.1,NA,NA,NA,NA
3/12/1919,88.3,NA,NA,NA,NA
3/13/1919,88.18,NA,NA,NA,NA
3/14/1919,87.87,NA,NA,NA,NA
3/17/1919,88.41,NA,NA,NA,NA
3/18/1919,87.87,NA,NA,NA,NA
3/19/1919,88.26,NA,NA,NA,NA
3/20/1919,87.81,NA,NA,NA,NA
3/21/1919,89.05,NA,NA,NA,NA
