HISTORICAL DATA FOR NYSE COMPOSITE INDEX (SYMBOL NYA) ,,,
DATE,CLOSING PRICE,TOTAL RETURN,MARKET CAP
12/31/1965,528.69,N/A,N/A
1/3/1966,527.21,N/A,N/A
1/4/1966,527.84,N/A,N/A
1/5/1966,531.12,N/A,N/A
1/6/1966,532.07,N/A,N/A
1/7/1966,532.6,N/A,N/A
1/10/1966,533.87,N/A,N/A
1/11/1966,534.29,N/A,N/A
1/12/1966,533.34,N/A,N/A
1/13/1966,534.4,N/A,N/A
1/14/1966,535.45,N/A,N/A
1/17/1966,537.46,N/A,N/A
1/18/1966,538.94,N/A,N/A
1/19/1966,537.67,N/A,N/A
1/20/1966,535.67,N/A,N/A
1/21/1966,535.98,N/A,N/A
1/24/1966,537.67,N/A,N/A
1/25/1966,538.1,N/A,N/A
1/26/1966,537.57,N/A,N/A
1/27/1966,537.36,N/A,N/A
1/28/1966,535.67,N/A,N/A
1/31/1966,533.34,N/A,N/A
2/1/1966,529.11,N/A,N/A
2/2/1966,531.44,N/A,N/A
2/3/1966,532.07,N/A,N/A
2/4/1966,535.45,N/A,N/A
2/7/1966,537.25,N/A,N/A
2/8/1966,536.83,N/A,N/A
2/9/1966,539.89,N/A,N/A
2/10/1966,538.41,N/A,N/A
2/11/1966,538.31,N/A,N/A
2/14/1966,537.78,N/A,N/A
2/15/1966,535.45,N/A,N/A
2/16/1966,535.35,N/A,N/A
2/17/1966,532.49,N/A,N/A
2/18/1966,531.44,N/A,N/A
2/21/1966,528.26,N/A,N/A
2/23/1966,506.38,N/A,N/A
2/23/1966,525.94,N/A,N/A
2/24/1966,522.45,N/A,N/A
2/25/1966,523.93,N/A,N/A
2/28/1966,524.56,N/A,N/A
3/1/1966,517.9,N/A,N/A
3/2/1966,512.83,N/A,N/A
3/3/1966,514.94,N/A,N/A
3/4/1966,513.35,N/A,N/A
3/7/1966,506.38,N/A,N/A
3/8/1966,506.9,N/A,N/A
3/9/1966,511.13,N/A,N/A
3/10/1966,511.24,N/A,N/A
3/11/1966,510.82,N/A,N/A
3/14/1966,504.9,N/A,N/A
3/15/1966,501.51,N/A,N/A
3/16/1966,504.26,N/A,N/A
3/17/1966,505.85,N/A,N/A
3/18/1966,508.28,N/A,N/A
3/21/1966,512.19,N/A,N/A
3/22/1966,513.67,N/A,N/A
3/23/1966,511.98,N/A,N/A
3/24/1966,512.72,N/A,N/A
3/25/1966,513.99,N/A,N/A
3/28/1966,514.94,N/A,N/A
3/29/1966,512.83,N/A,N/A
3/30/1966,508.6,N/A,N/A
3/31/1966,511.45,N/A,N/A
4/1/1966,515.58,N/A,N/A
4/4/1966,520.23,N/A,N/A
4/5/1966,523.51,N/A,N/A
4/6/1966,524.88,N/A,N/A
4/7/1966,525.94,N/A,N/A
4/11/1966,525.73,N/A,N/A
4/12/1966,524.14,N/A,N/A
4/13/1966,524.35,N/A,N/A
4/14/1966,525.41,N/A,N/A
4/15/1966,526.36,N/A,N/A
4/18/1966,524.25,N/A,N/A
4/19/1966,524.56,N/A,N/A
4/20/1966,527.42,N/A,N/A
4/21/1966,529.11,N/A,N/A
4/22/1966,528.05,N/A,N/A
4/25/1966,527.52,N/A,N/A
4/26/1966,526.15,N/A,N/A
4/27/1966,524.35,N/A,N/A
4/28/1966,521.18,N/A,N/A
4/29/1966,521.18,N/A,N/A
5/2/1966,520.54,N/A,N/A
5/3/1966,514.73,N/A,N/A
5/4/1966,511.98,N/A,N/A
5/5/1966,503.1,N/A,N/A
5/6/1966,502.15,N/A,N/A
5/9/1966,493.48,N/A,N/A
5/10/1966,497.71,N/A,N/A
5/11/1966,498.55,N/A,N/A
5/12/1966,492.42,N/A,N/A
5/13/1966,487.34,N/A,N/A
5/16/1966,480.89,N/A,N/A
5/17/1966,476.45,N/A,N/A
5/18/1966,485.55,N/A,N/A
